"pictureID","pathWhereItsNotFound","newPath"
36100,images/1007/36100.tif,images/913/36100.tif
36100,previews/1007/36100_s.jpeg,previews/913/36100_s.jpeg
36100,thumbnails/1007/36100_t.jpeg,thumbnails/8/36100_t.jpeg
36100,previews/1007/36100_s.jpeg,previews/8/36100_s.jpeg
36100,thumbnails/1007/36100_t.jpeg,thumbnails/913/36100_t.jpeg
36356,previews/1212/36356_s.jpeg,previews/1169/36356_s.jpeg
36356,previews/1212/36356_s.jpeg,previews/8/36356_s.jpeg
36356,thumbnails/1212/36356_t.jpeg,thumbnails/1169/36356_t.jpeg
36356,thumbnails/1212/36356_t.jpeg,thumbnails/8/36356_t.jpeg
36356,images/1212/36356.tif,images/1169/36356.tif
36612,thumbnails/1512/36612_t.jpeg,thumbnails/1425/36612_t.jpeg
36612,previews/1512/36612_s.jpeg,previews/8/36612_s.jpeg
36612,thumbnails/1512/36612_t.jpeg,thumbnails/8/36612_t.jpeg
36612,previews/1512/36612_s.jpeg,previews/1425/36612_s.jpeg
36612,images/1512/36612.tif,images/1425/36612.tif
36868,images/1713/36868.tif,images/1681/36868.tif
36868,previews/1713/36868_s.jpeg,previews/8/36868_s.jpeg
36868,thumbnails/1713/36868_t.jpeg,thumbnails/8/36868_t.jpeg
36868,previews/1713/36868_s.jpeg,previews/1681/36868_s.jpeg
36868,thumbnails/1713/36868_t.jpeg,thumbnails/1681/36868_t.jpeg
37124,thumbnails/2013/37124_t.jpeg,thumbnails/1937/37124_t.jpeg
37124,images/2013/37124.tif,images/1937/37124.tif
37124,previews/2013/37124_s.jpeg,previews/8/37124_s.jpeg
37124,thumbnails/2013/37124_t.jpeg,thumbnails/8/37124_t.jpeg
37124,previews/2013/37124_s.jpeg,previews/1937/37124_s.jpeg
37380,thumbnails/2213/37380_t.jpeg,thumbnails/8/37380_t.jpeg
37380,images/2213/37380.tif,images/2193/37380.tif
37380,thumbnails/2213/37380_t.jpeg,thumbnails/2193/37380_t.jpeg
37380,previews/2213/37380_s.jpeg,previews/2193/37380_s.jpeg
37380,previews/2213/37380_s.jpeg,previews/8/37380_s.jpeg
37636,thumbnails/2484/37636_t.jpeg,thumbnails/9/37636_t.jpeg
